ponížit se</b> \n    <b>snížit se</b> (k čemu) \n    <b>zdiskreditovat se</b> (něčím) 
abased	<b>abased</b><br><b>degradován</b>
absolutely	<b>absolutely</b><br><b>absolutně</b>\n    <b>dočista</b> \n    <b>fakticky</b> \n    <b>naprosto</b> \n    <b>opravdu</b> \n    <b>rozhodně</b> \n    <b>zajisté</b> \n    <b>zcela</b> \n    <b>úplně</b> 
absoluteness	<b>absoluteness</b><br><b>absolutnost</b> \n    <b>neomezenost</b> \n    <b>úplnost</b> 
absolutes	<b>absolutes</b><br><b>absolutní pravdy</b> 
absolution	<b>absolution</b><br><b>rozhřešení</b> \n    <b>zproštění</b> 
absolutism	<b>absolutism</b><br><b>absolutizmus</b>
absolutist	<b>absolutist</b><br><b>absolutistický</b>
absolutist views	<b>absolutist views</b><br><i>[eko.]</i> <b>absolutistická stanoviska</b> 
absolve	<b>absolve</b><br><b>osvobodit</b>\n    <b>zprostit</b>
absolve from	<b>absolve from</b><br><b>osvobodit od</b>\n    <b>zprostit čeho</b>
absolve of	<b>absolve of</b><br><b>osvobodit z</b>
absolved	<b>absolved</b><br><b>osvobozen</b>
absolving	<b>absolving</b><br><b>osvobozování</b>
absorb	<b>absorb</b><br><b>absorbovat</b> \n    <b>nasát</b> \n    <b>pohlcovat</b> \n    <b>pohltit</b>\n    <b>vstřebat</b>\n    <b>vstřebávat</b> \n    <b>zaměstnat</b> (úplně)
absorbable	<b>absorbable</b><br><b>absorbovatelný</b> 
absorbate	<b>absorbate</b><br><b>absorbát</b> 
absorbed	<b>absorbed</b><br><b>absorbovaný</b> \n    <b>pohlcený</b> \n    <b>zabrán do</b>
absorbed dose	<b>absorbed dose</b><br><i>[eko.]</i> <b>absorbovaná dávka</b> \n    <i>[eko.]</i> <b>absorbovaná dávka (ioniz. záření)</b> 
absorbed substance	<b>absorbed substance</b><br><i>[eko.]</i> <b>absorbát</b> 
absorbency	<b>absorbency</b><br><b>absorpčnost</b> 
absorbent	<b>absorbent</b><br><b>absorbent</b>
absorber	<b>absorber</b><br><b>absorbér</b>\n    <i>[eko.]</i> <b>pohlcovač</b> 
absorbing	<b>absorbing</b><br><i>[chem.]</i> <b>absorbující</b> \n    <b>zaměstnávající</b> (činnost) 
absorbing power	<b>absorbing power</b><br><b>nasákavost</b> 
absorbs	<b>absorbs</b><br><b>absorbuje</b> 
absorbtive capacity of pollutants	<b>absorbtive capacity of pollutants</b><br><i>[eko.]</i> <b>absorpční kapacita polutantů</b> 
absorptance	<b>absorptance</b><br><b>pohltivost</b> 
absorption	<b>absorption</b><br><b>absorpce</b>\n    <b>pohlcení</b> \n    <b>pohlcování</b> \n    <b>vstřebávání</b> 
absorption coefficient	<b>absorption coefficient</b><br><i>[fyz.]</i> <b>koeficient absorpce</b> 
absorptive	<b>absorptive</b><br><b>absorpční</b> \n    <b>savý</b> \n    <b>schopný uchvátit</b> \n    <b>uchvátivý</b> 
absorptive drain	<b>absorptive drain</b><br><i>[eko.]</i> <b>pohlcovací drén</b> 
absorptive well	<b>absorptive well</b><br><i>[eko.]</i> <b>hltač</b> 
absorptivity	<b>absorptivity</b><br><b>absorptivita</b> \n    <b>pohltivost</b> \n    <b>savost</b> 
abstain	<b>abstain</b><br><b>abstinovat</b> \n    <b>zdržovat se</b>
abstained	<b>abstained</b><br><b>nehlasoval</b> 
abstainer	<b>abstainer</b><br><b>abstinent</b>
abstaining	<b>abstaining</b><br><b>abstinující</b>
abstemious	<b>abstemious</b><br><b>střídmý</b> \n    <b>zdrženlivý</b> \n    <b>šetrný</b> 
abstemiously	<b>abstemiously</b><br><b>střídmě</b> \n    <b>zdrženlivě</b> 
abstemiousness	<b>abstemiousness</b><br><b>střídmost</b> \n    <b>zdrženlivost</b> 
abstention	<b>abstention</b><br><b>zdržení se</b>
abstentions	<b>abstentions</b><br><i>pl.</i> <b>abstinence</b> 
abstinence	<b>abstinence</b><br><b>abstinence</b> 
abstinent	<b>abstinent</b><br><b>abstinent</b> \n    <b>abstinentní</b> \n    <b>střídmý</b> \n    <b>zdrženlivý</b> 
abstract	<b>abstract</b><br><b>abstrahovat</b>\n    <b>abstraktní</b>\n    <b>abstraktní pojem</b>\n    <b>obsah</b>\n    <b>oddělit</b>\n    <b>odstranit</b>\n    <b>odtažitý</b>\n    <b>přehled</b> \n    <b>resumé</b> \n    <b>výtah</b> (literální)
abstract expressionism	<b>abstract expressionism</b><br><b>abstraktní expresionismus</b> (umělecký směr) 
abstract factory	<b>abstract factory</b><br><i>[it.]</i> <b>abstraktní továrna</b> (http://cs.wikipedia.org/wiki/Návrhový_vzor) 
abstract noun	<b>abstract noun</b><br><b>abstraktní podstatné jméno</b> 
abstract system	<b>abstract system</b><br><i>[eko.]</i> <b>abstraktní systém</b> 
abstracted	<b>abstracted</b><br><b>nepozorný</b> \n    <b>roztržitý</b> 
abstractedly	<b>abstractedly</b><br><b>nepozorně</b> \n    <b>nezávisle</b> \n    <b>roztržitě</b> 
abstractedly from	<b>abstractedly from</b><br><b>nezávisle na</b> 
abstractedness	<b>abstractedness</b><br><b>roztržitost</b> 
abstraction	<b>abstraction</b><br><b>abstrakce</b>
abstractions	<b>abstractions</b><br><i>pl.</i> <b>abstrakce</b> 
abstractive	<b>abstractive</b><br><b>abstrakční</b> 
abstractive use	<b>abstractive use</b><br><i>[eko.]</i> <b>abstraktivní využití (vody)</b> 
abstractly	<b>abstractly</b><br><b>abstraktně</b> 
abstractor	<b>abstractor</b><br><b>dokumentátor</b> 
abstracts	<b>abstracts</b><br><i>pl.</i> <b>abstrakce</b> 
abstruse	<b>abstruse</b><br><b>nejasný</b> \n    <b>nesrozumitelný</b> 
abstrusely	<b>abstrusely</b><br><b>nesrozumitelně</b> 
absurd	<b>absurd</b><br><b>absurdní</b>\n    <b>nemožný</b> \n    <b>nesmyslný</b>\n    <b>pošetilý</b> \n    <b>směšný</b> 
absurdest	<b>absurdest</b><br><b>nejabsurdnější</b> 
absurdist	<b>absurdist</b><br><b>absurdistický</b> 
absurdities	<b>absurdities</b><br><b>absurdnosti</b>
absurdity	<b>absurdity</b><br><b>absurdita</b> \n    <b>absurdnost</b>\n    <b>nemožnost</b>\n    <b>nesmyslnost</b>
absurdly	<b>absurdly</b><br><b>absurdně</b>
Abu Dhabi	<b>Abu Dhabi</b><br><i>[jmén.] [zem.]</i> <b>Abú Zabí</b> (hlavní město Spojených arabských emirátů) 
Abuja	<b>Abuja</b><br><i>[jmén.] [zem.]</i> <b>Abudža</b> (hlavní město Nigérie) 
abulia	<b>abulia</b><br><b>abulie</b> 
abundance	<b>abundance</b><br><i>[eko.]</i> <b>abundance</b> \n    <b>hojnost</b>\n    <b>nadbytek</b>
abundance of st.	<b>abundance of st.</b><br><b>nadbytek</b> (čeho)
abundant	<b>abundant</b><br><b>bohatý</b>\n    <b>hojný</b>\n    <b>oplývající</b>\n    <b>vydatný</b> 
abundant in st	<b>abundant in st</b><br><b>bohatá na co</b> \n    <b>oplývající čím</b> 
abundant in st.	<b>abundant in st.</b><br><b>oplývající</b> (čím)
abundantly	<b>abundantly</b><br><b>hojně</b>
abuse	<b>abuse</b><br><b>hrubé zacházení</b> \n    <b>nadávat</b>\n    <b>nadávka</b> \n    <i>pl.</i> <b>nadávky</b>\n    <b>spílat</b> \n    <b>týrat</b> \n    <b>zneužití</b>\n    <b>zneužít</b> \n    <b>zneužívat</b>\n    <b>zneužívání</b> 
abuse of st.	<b>abuse of st.</b><br><b>zneužití</b> (čeho)
abused	<b>abused</b><br><b>zneužit</b>
abuser	<b>abuser</b><br><b>zneuživatel</b> 
abusers	<b>abusers</b><br><b>zneuživatelé</b> 
abuses	<b>abuses</b><br><b>zneužívá</b> 
abusing	<b>abusing</b><br><b>zneužívající</b> 
abusive	<b>abusive</b><br><b>hanlivý</b> \n    <b>urážlivý</b> 
abusively	<b>abusively</b><br><b>sprostě</b> \n    <b>urážlivě</b> 
abusiveness	<b>abusiveness</b><br><b>zneužívanost</b> (poněkud zvláštní slovo...) 
abut	<b>abut</b><br><b>dosedat</b>\n    <b>hraničit</b>\n    <b>přiléhat</b>\n    <b>sousedit</b>
abut against	<b>abut against</b><br><b>dosedat k</b>\n    <b>přiléhat k</b>
abut on	<b>abut on</b><br><b>hraničit s</b>\n    <b>sousedit s</b>
abutment	<b>abutment</b><br><i>[tech.]</i> <b>opěra</b>\n    <i>[tech.]</i> <b>pata</b>\n    <i>[tech.]</i> <b>podpěra</b>\n    <i>[tech.]</i> <b>podpěrný pilíř</b>\n    <i>[tech.]</i> <b>tupý spoj</b>
abutment arch	<b>abutment arch</b><br><i>[tech.]</i> <b>krajní oblouk</b> (mostu)
abutment pier	<b>abutment pier</b><br><i>[tech.]</i> <b>krajní podpora</b> (mostu)\n    <b>opěra</b>
abutter	<b>abutter</b><br><b>soused</b> 
abutting	<b>abutting</b><br><b>sousední</b> 
abuzz	<b>abuzz</b><br><b>bzučící</b>
abvolt	<b>abvolt</b><br><b>abvolt</b> 
abysm	<b>abysm</b><br><i>[bás.]</i> <b>propast</b> 
abysmal	<b>abysmal</b><br><b>bezedný</b> \n    <b>hrozný</b>\n    <b>mizerný</b> \n    <b>nezměrný</b> \n    <b>propastný</b> 
abysmal misery	<b>abysmal misery</b><br><b>obrovská bída</b>
abysmal stupidity	<b>abysmal stupidity</b><br><b>obrovská blbost</b>
abysmally	<b>abysmally</b><br><b>hrozně</b> 
abyss	<b>abyss</b><br><b>bezedná propast</b>\n    <b>propast</b> 
abyssal	<b>abyssal</b><br><i>[eko.]</i> <b>abysál</b> \n    <b>abysální</b> 
Abyssinia	<b>Abyssinia</b><br><b>Etiopie</b> \n    <i>[zem.]</i> <b>Habeš</b> (dnes Etiopie) 
Abyssinian	<b>Abyssinian</b><br><b>Etiopan</b> \n    <b>Habešan</b> \n    <b>habešský</b> 
Abyssinians	<b>Abyssinians</b><br><b>Etiopané</b> \n    <i>pl.</i> <b>Habešané</b> 
AC	<b>AC</b><br><i>[zkr.]</i> <b>střídavý proud</b>
AC adapter	<b>AC adapter</b><br><b>AC adaptér</b> \n    <b>nabíječka</b> (technicky nesprávně) \n    <i>[tech.]</i> <b>síťový adaptér</b> 
AC/DC	<b>AC/DC</b><br><i>[slang.]</i> <b>bisexuál</b> \n    <i>[fyz.] [zkr.]</i> <b>střídavý/stejnosměrný proud</b> (alternating current/direct current) 
acacia	<b>acacia</b><br><b>akácie</b> \n    <b>akát</b> \n    <b>arabská guma</b> \n    <b>klovatina</b> 
academe	<b>academe</b><br><b>akademický</b> 
academia	<b>academia</b><br><b>akademie</b>
academian	<b>academian</b><br><b>akademik</b>
academic	<b>academic</b><br><b>akademický</b>\n    <b>akademik</b> \n    <b>humanitní</b>\n    <b>teoretický</b> \n    <b>vysokoškolský</b>\n    <b>vědecký</b>
academic degree	<b>academic degree</b><br><b>akademický titul</b> 
academic freedom	<b>academic freedom</b><br><b>akademická svoboda</b> 
academic year	<b>academic year</b><br><b>akademický rok</b>\n    <b>školní rok</b>
academical	<b>academical</b><br><b>akademický</b> \n    <b>vysokoškolský</b> 
academically	<b>academically</b><br><b>akademicky</b>
academician	<b>academician</b><br><b>akademik</b> 
academics	<b>academics</b><br><b>profesoři</b> 
academies	<b>academies</b><br><i>pl.</i> <b>akademie</b> 
academism	<b>academism</b><br><b>akademismus</b> 
academy	<b>academy</b><br><b>akademie</b>
acanthus	<b>acanthus</b><br><b>akant</b> 
Acapulco	<b>Acapulco</b><br><i>[zem.]</i> <b>Acapulco</b> (město v Mexiku) 
acariasis	<b>acariasis</b><br><b>akarióza</b> 
acaricide	<b>acaricide</b><br><i>[eko.]</i> <b>akaricid</b> 
acarid	<b>acarid</b><br><b>roztoč</b> 
acariphage	<b>acariphage</b><br><i>[eko.]</i> <b>akarofág</b> 
acarpous	<b>acarpous</b><br><b>sterilní</b> 
acatalectic	<b>acatalectic</b><br><b>akatalektický</b> 
acaudal	<b>acaudal</b><br><b>bezocasý</b> 
acaudate	<b>acaudate</b><br><b>bezocasý</b> 
acaustobiolith	<b>acaustobiolith</b><br><i>[eko.]</i> <b>akaustobiolit</b> 
ACC	<b>ACC</b><br><i>[zkr.] [voj.]</i> <b>Air Combat Command</b> 
accede	<b>accede</b><br><b>nastoupit</b>\n    <b>přistoupit</b>\n    <b>vstoupit</b>
accede to	<b>accede to</b><br><b>přistoupit k</b>\n    <b>přistoupit na</b>
accede to an office	<b>accede to an office</b><br><b>nastoupit do úřadu</b>
accede to the throne	<b>accede to the throne</b><br><b>nastoupit na trůn</b>
accede with st.	<b>accede with st.</b><br><b>souhlasit s</b> (čím)
acceded	<b>acceded</b><br><b>nastoupil</b> \n    <b>přistoupil</b> \n    <b>souhlasil</b> \n    <b>vstoupil</b> 
accelerate	<b>accelerate</b><br><b>akcelerovat</b> \n    <b>urychlit</b> ("se")\n    <b>urychlovat</b> \n    <b>uspíšit</b> \n    <b>zrychlit</b> ("se")\n    <b>zrychlovat</b> 
accelerated	<b>accelerated</b><br><b>urychlen</b>\n    <b>zrychlený</b> 
accelerated erosion	<b>accelerated erosion</b><br><i>[eko.]</i> <b>zrychlená eroze</b> 
accelerates	<b>accelerates</b><br><b>akceleruje</b> 
accelerating	<b>accelerating</b><br><b>urychlující</b> 
acceleration	<b>acceleration</b><br><b>akcelerace</b>\n    <b>urychlení</b> \n    <b>zrychlení</b>
accelerations	<b>accelerations</b><br><i>pl.</i> <b>urychlení</b> \n    <i>pl.</i> <b>zrychlení</b> 
accelerative	<b>accelerative</b><br><b>urychlující</b> \n    <b>zrychlovací</b> \n    <b>zrychlující</b> 
accelerator	<b>accelerator</b><br><b>akcelerátor</b> \n    <b>plynový pedál</b>\n    <b>urychlovač</b> \n    <b>zrychlovač</b> 
accelerator pedal	<b>accelerator pedal</b><br><b>pedál plynu</b> ((v autě)) 
accelerators	<b>accelerators</b><br><i>pl.</i> <b>akcelerátory</b> 
accelerometer	<b>accelerometer</b><br><b>akcelerometr</b> 
accent	<b>accent</b><br><b>akcent</b> \n    <b>akcentovat</b> \n    <b>důraz</b> \n    <b>přizvukovat</b> \n    <b>přízvuk</b>\n    <b>způsob výslovnosti</b> 
accented	<b>accented</b><br><b>nářeční</b> \n    <b>zdůrazněný</b> 
accents	<b>accents</b><br><i>pl.</i> <b>akcenty</b> \n    <i>pl.</i> <b>diakritika</b> \n    <i>pl.</i> <b>přízvuky</b> 
accentual	<b>accentual</b><br><b>přízvučný</b> 
accentuate	<b>accentuate</b><br><b>akcentovat</b> \n    <b>přízvukovat</b> \n    <b>vyzdvihnout</b> \n    <b>zdůraznit</b> \n    <b>zdůrazňovat</b> 
accentuated	<b>accentuated</b><br><b>vyzdvižený</b> \n    <b>zdůrazněný</b> \n    <b>zvýrazněný</b> 
accentuation	<b>accentuation</b><br><b>vyzdvižení</b> \n    <b>zdůraznění</b> 
accept	<b>accept</b><br><b>akceptovat</b>\n    <b>přijmout</b>\n    <b>přijímat</b>\n    <b>uznávat</b>
acceptability	<b>acceptability</b><br><b>přijatelnost</b>
acceptability principle	<b>acceptability principle</b><br><i>[eko.]</i> <b>princip přijatelnosti</b> 
acceptable	<b>acceptable</b><br><b>přijatelný</b>\n    <b>přípustný</b> 
acceptable daily intake	<b>acceptable daily intake</b><br><i>[eko.]</i> <b>přípustný denní příjem</b> (Stanovená denní expoziční dávka, která pravděpodobně nebude mít škodlivé účinky, ani když expozice bude pokračovat po celý život.) 
acceptable daily intake (ADI) of harmful substance	<b>acceptable daily intake (ADI) of harmful substance</b><br><i>[eko.]</i> <b>ADI přijatelný denní přísun škodlivé látky (angl.)</b> \n    <i>[eko.]</i> <b>přijatelný denní přísun škodlivé látky (ADI)</b> 
acceptableness	<b>acceptableness</b><br><b>přijatelnost</b> 
acceptably	<b>acceptably</b><br><b>přijatelně</b>
acceptance	<b>acceptance</b><br><b>přejímka</b> \n    <b>přijetí</b>\n    <b>souhlas</b>
acceptance credit	<b>acceptance credit</b><br><b>akceptační úvěr</b> 
acceptance of membership	<b>acceptance of membership</b><br><b>přijetí členství</b> 
acceptance of st.	<b>acceptance of st.</b><br><b>souhlas s</b> (čím)
accepted	<b>accepted</b><br><b>přijal</b>\n    <b>přijato</b>\n    <b>přijatý</b>
accepter	<b>accepter</b><br><b>příjemce</b>
accepters	<b>accepters</b><br><i>pl.</i> <b>příjemci</b>
accepting	<b>accepting</b><br><b>přijímání</b>
acceptor	<b>acceptor</b><br><b>příjemce</b>
acceptors	<b>acceptors</b><br><i>pl.</i> <b>příjemci</b>
accepts	<b>accepts</b><br><b>přijímá</b> 
access	<b>access</b><br><b>přístup</b>
Access chamber	<b>Access chamber</b><br><i>[stav.]</i> <b>revizní šachta</b> (max 600mm hluboká) 
access code	<b>access code</b><br><i>[it.]</i> <b>přístupový kód</b> 
access time	<b>access time</b><br><b>čas přístupu</b>
accessary	<b>accessary</b><br><b>spolupachatel</b> \n    <b>spoluviník</b> 
accessed	<b>accessed</b><br><b>zpřístupněno</b>
accesses	<b>accesses</b><br><b>přístupy</b>
accessibility	<b>accessibility</b><br><b>dosažitelnost</b> \n    <b>přístup</b> \n    <b>přístupnost</b>\n    <b>usnadnění</b>
accessible	<b>accessible</b><br><b>dosažitelný</b>\n    <b>dostupný</b> \n    <b>přístupný</b>
accessibly	<b>accessibly</b><br><b>přístupně</b>
accessing	<b>accessing</b><br><b>přistupování</b>
accession	<b>accession</b><br><b>nastoupení</b> ("do úřadu")\n    <b>přistoupení</b> \n    <b>přírůstek</b>\n    <b>vstoupení</b>
accession to	<b>accession to</b><br><b>vstoupení do</b>
accessories	<b>accessories</b><br><i>pl.</i> <b>doplňky</b>\n    <b>příslušenství</b> 
accessors	<b>accessors</b><br><b>přístupové mechanizmy</b> 
accessory	<b>accessory</b><br><b>akcesorní</b> \n    <b>dodatečný</b> \n    <b>doplněk</b>\n    <b>doplňky</b> \n    <i>pl.</i> <b>módní doplňky</b>\n    <b>přídavný</b> \n    <b>příslušenství</b>\n    <b>spolupachatel</b> \n    <b>spoluvinný</b> \n    <b>spoluviník</b> \n    <b>vedlejší</b> 
accidence	<b>accidence</b><br><b>tvarosloví</b> 
accident	<b>accident</b><br><b>bouračka</b> \n    <b>havárie</b>\n    <b>nehoda</b>\n    <b>neštěstí</b>\n    <b>náhoda</b> \n    <b>úrazový</b> 
accident insurance	<b>accident insurance</b><br><b>havarijní pojištění</b>
accident-prone	<b>accident-prone</b><br><b>smolařský</b> 
accidental	<b>accidental</b><br><b>nahodilý</b>\n    <b>nezaviněný</b> \n    <b>neúmyslný</b> \n    <b>náhodný</b>
accidental colors	<b>accidental colors</b><br><b>vedlejší barvy</b>
accidental death	<b>accidental death</b><br><b>smrtelný úraz</b>
accidental injury	<b>accidental injury</b><br><b>zranění při úrazu</b>
accidental water quality deterioration	<b>accidental water quality deterioration</b><br><i>[eko.]</i> <b>havarijní zhoršení jakosti vody</b> 
accidentally	<b>accidentally</b><br><b>nahodile</b>\n    <b>nechtěně</b> \n    <b>náhodou</b> 
accidents	<b>accidents</b><br><b>nehody</b>
ACCINTNET	<b>ACCINTNET</b><br><i>[zkr.] [voj.]</i> <b>ACC Intelligence Network</b> 
accipiter	<b>accipiter</b><br><b>jestřáb</b> \n    <b>krahujec</b> 
acclaim	<b>acclaim</b><br><b>chvála</b> \n    <b>pozdravovat</b>\n    <b>provolávat</b> (slávu)
acclaim the winner	<b>acclaim the winner</b><br><b>pozdravovat jako vítěze</b>
acclaimed	<b>acclaimed</b><br><b>velebený</b> \n    <b>vychvalovaný</b> 
acclaiming	<b>acclaiming</b><br><b>provolávání</b>
acclamation	<b>acclamation</b><br><b>aklamace</b> \n    <b>aklimatizace</b>
acclimate	<b>acclimate</b><br><b>aklimatizovat</b> 
acclimated	<b>acclimated</b><br><b>aklimatizovaný</b> \n    <b>aklimatizován</b>
acclimating	<b>acclimating</b><br><b>aklimatizování</b>
acclimation	<b>acclimation</b><br><i>[eko.]</i> <b>adaptace</b> \n    <b>aklimatizace</b> \n    <b>přizpůsobení</b> 
acclimatisation	<b>acclimatisation</b><br><b>aklimatizace</b> 
acclimatise	<b>acclimatise</b><br><b>aklimatizovat</b> 
acclimatised	<b>acclimatised</b><br><b>aklimatizoval</b> 
acclimatization	<b>acclimatization</b><br><b>aklimatizace</b>
acclimatize	<b>acclimatize</b><br><b>aklimatizovat</b> \n    <b>přizpůsobit</b> 
acclimatized	<b>acclimatized</b><br><b>aklimatizoval</b> \n    <b>aklimatizovaný</b> \n    <b>přizpůsobený</b> \n    <b>přizpůsobil</b> 
acclivity	<b>acclivity</b><br><b>sráz</b> 
accolade	<b>accolade</b><br><b>vyznamenání</b> 
accommodate	<b>accommodate</b><br><b>akomodovat</b> \n    <b>přizpůsobit</b>\n    <b>ubytovat</b>\n    <b>urovnat</b>\n    <b>vypomoci</b>
accommodate differences	<b>accommodate differences</b><br><b>urovnat spory</b>
accommodate to	<b>accommodate to</b><br><b>přizpůsobit</b> (čemu)
accommodated	<b>accommodated</b><br><b>ubytoval</b> 
accommodates	<b>accommodates</b><br><b>umístí</b> 
accommodating	<b>accommodating</b><br><b>ochotný</b> \n    <b>vstřícný</b> \n    <b>vypomáhání</b>\n    <b>výhodný</b> \n    <b>úslužný</b> 
accommodation	<b>accommodation</b><br><b>nocleh</b> \n    <b>přizpůsobení</b> \n    <b>ubytování</b>
accommodative	<b>accommodative</b><br><b>akomodační</b> 
accomodation	<b>accomodation</b><br><b>ubytování</b> 
accomodation to	<b>accomodation to</b><br><b>přizpůsobení se</b> 
accompanied	<b>accompanied</b><br><b>doprovozený</b> \n    <b>doprovázený</b> \n    <b>provázený</b> 
accompanies	<b>accompanies</b><br><b>doprovází</b> 
accompaniment	<b>accompaniment</b><br><b>doprovod</b> ("hudební")\n    <b>průvodní jev</b>
accompanist	<b>accompanist</b><br><b>doprovod</b> \n    <b>doprovázející osoba</b> 
accompany	<b>accompany</b><br><b>doprovodit</b> \n    <b>doprovázet</b>\n    <b>provázet</b> 
accompanying	<b>accompanying</b><br><b>doprovodný</b> \n    <b>doprovázející</b> \n    <b>průvodní</b> 
accompanying raw material	<b>accompanying raw material</b><br><i>[eko.]</i> <b>doprovodná surovina</b> 
accompanyist	<b>accompanyist</b><br><b>doprovázeč</b> 
accomplice	<b>accomplice</b><br><b>spolupachatel</b>\n    <b>spoluviník</b>
accomplish	<b>accomplish</b><br><b>dokončit</b> \n    <b>dokázat</b> \n    <b>dosáhnout</b> (čeho)\n    <b>dovršit</b> \n    <b>provést</b>\n    <b>splnit</b> \n    <b>uskutečnit</b>\n    <b>uskutečňovat</b> \n    <b>vykonat</b>
accomplishable	<b>accomplishable</b><br><b>proveditelný</b> 
accomplished	<b>accomplished</b><br><b>provedeno</b>\n    <b>splněný</b> \n    <b>všestranně vzdělaný</b> \n    <b>zdatný</b> 
accomplishment	<b>accomplishment</b><br><b>uskutečnění</b> \n    <b>vykonání</b> \n    <b>výkon</b> \n    <b>výsledek</b> \n    <b>úspěch</b> \n    <b>čin</b> 
accomplishments	<b>accomplishments</b><br><i>pl.</i> <b>úspěchy</b> 
accord	<b>accord</b><br><b>dohoda</b> \n    <b>poskytnout</b> \n    <b>shoda</b>\n    <b>smlouva</b> \n    <b>souhlas</b>
accord equal rights	<b>accord equal rights</b><br><b>zrovnoprávnit</b> 
accord in	<b>accord in</b><br><b>v souhlasu s</b>
accord of one's own	<b>accord of one's own</b><br><b>dobrovolně</b>
accordance	<b>accordance</b><br><b>konkordance</b> \n    <b>shoda</b>\n    <b>ve shodě</b> 

accrued expenses	<b>accrued expenses</b><br><i>[ekon.]</i> <b>výdaje příštích období</b> (rozvaha/balance sheet) 
accrued items	<b>accrued items</b><br><i>pl. [fin.]</i> <b>dohadné položky</b> 
accrued revenue	<b>accrued revenue</b><br><i>[ekon.]</i> <b>příjmy příštích období</b> 
accrues	<b>accrues</b><br><b>narůstání</b> 
accruing	<b>accruing</b><br><b>časové rozlišení</b> 
acculturate	<b>acculturate</b><br><b>asimilovat</b> 
acculturated	<b>acculturated</b><br><b>asimiloval</b> \n    <b>asimilovaný</b> \n    <b>přizpůsobený</b> 
acculturation	<b>acculturation</b><br><b>převzetí kultury</b> 
accumulate	<b>accumulate</b><br><b>akumulovat</b> \n    <b>kupit</b> \n    <b>nahromadit</b>\n    <i>[eko.]</i> <b>nahromadit se</b> \n    <b>nashromáždit</b> 
accumulated	<b>accumulated</b><br><b>akumulovaný</b> \n    <b>nahromaděný</b> 
accumulated depreciation	<b>accumulated depreciation</b><br><i>[fin.]</i> <b>oprávky</b> 
accumulated losses from previous years	<b>accumulated losses from previous years</b><br><i>[ekon.]</i> <b>neuhrazená ztráta minulých let</b> (rozvaha/balance sheet) 
accumulated water energy	<b>accumulated water energy</b><br><i>[eko.]</i> <b>akumulovaná vodní energie</b> 
accumulates	<b>accumulates</b><br><b>akumuluje</b> \n    <b>hromadí</b> 
accumulating	<b>accumulating</b><br><b>akumulující</b> 
accumulation	<b>accumulation</b><br><b>akumulace</b> \n    <i>[eko.]</i> <b>hromadění</b> \n    <b>nahromadění</b> \n    <b>nakupení</b> 
accumulation area	<b>accumulation area</b><br><i>[eko.]</i> <b>akumulační oblast</b> 
accumulation coefficient	<b>accumulation coefficient</b><br><i>[eko.]</i> <b>kumulační koeficient (toxické látky)</b> 
accumulation of toxic substances	<b>accumulation of toxic substances</b><br><i>[eko.]</i> <b>kumulace toxických látek</b> 
accumulation pond	<b>accumulation pond</b><br><i>[eko.]</i> <b>akumulační rybník</b> 
accumulative	<b>accumulative</b><br><b>akumulační</b> \n    <b>kumulativní</b> 
accumulator	<b>accumulator</b><br><b>akumulátor</b> 
accuracy	<b>accuracy</b><br><b>preciznost</b> \n    <b>přesnost</b>\n    <b>správnost</b> 
accurate	<b>accurate</b><br><b>precizní</b> \n    <b>přesný</b>\n    <b>trefný</b> 
accurately	<b>accurately</b><br><b>přesně</b>
accursed	<b>accursed</b><br><b>mizerný</b> \n    <b>proklatý</b> \n    <b>prokletý</b> \n    <b>zatracený</b> \n    <b>zlořečený</b> \n    <b>zpropadený</b> 
accurst	<b>accurst</b><br><b>mizerný</b> \n    <b>prokletý</b> \n    <b>zatracený</b> \n    <b>zpropadený</b> 
accusal	<b>accusal</b><br><b>obvinění</b> 
accusation	<b>accusation</b><br><b>nařčení</b> \n    <b>obvinění</b> \n    <b>obviňování</b> \n    <b>obžaloba</b> \n    <b>žaloba</b> 
accusations	<b>accusations</b><br><i>pl.</i> <b>obvinění</b> 
accusative	<b>accusative</b><br><b>akuzativ</b> \n    <b>akuzativní</b> 
accusatorial	<b>accusatorial</b><br><b>obžalovací</b> 
accusatory	<b>accusatory</b><br><b>obviňující</b> \n    <b>žalující</b> 
